frame,a,b,ball,ball_possession
872,,[     479.95       353.2],,
873,,[     480.06      352.29],,
874,,[     530.07      352.31],,
875,,[     480.66      353.19],,
876,,[     480.66      353.19],,
877,,[     479.94      351.38],,
878,,[     480.42      353.19],,
879,,[     480.66      353.19],,
880,,[     480.66      353.19],,
881,,[     480.42      353.19],,
882,,[     480.89      353.18],,
883,,[     480.89      353.18],,
884,,[     480.66      353.19],,
885,,[     479.83      352.29],,
886,,[     479.95       353.2],,
887,,[     480.66      353.19],,
888,,[     480.54      352.28],,
889,,[     480.42      353.19],,
890,,[     480.66      353.19],,
891,,[     480.66      353.19],,
892,,[     479.95       353.2],,
893,,[     479.94      351.38],,
894,,[     575.87       351.5],,
895,,[      480.3      352.28],,
896,,[     479.95       353.2],,
897,,[     525.58      352.39],,
898,,[     528.73      352.33],,
899,,[     480.19      353.19],,
900,,[     480.89      353.18],,
901,,[     480.89      351.36],,
902,,[     480.65      351.37],,
903,,[     480.65      351.37],,
904,,[     606.24      349.25],,
905,,[     480.06      352.29],,
906,,[     531.64      352.28],,
907,,[     480.65      351.37],,
908,,[     481.13      353.18],,
909,,[     480.89      353.18],,
910,,[     480.89      353.18],,
911,,[     480.42      353.19],,
912,,[     605.61      349.26],,
913,,[      480.3      352.28],,
914,,[      530.3       352.3],,
915,,[     479.71      351.38],,
916,,[     480.42      353.19],,
